,,,exact_match,exact_match,f1_score,f1_score,bleu,bleu,semantic_similarity,semantic_similarity,generation_time,generation_time
,,,mean,std,mean,std,mean,std,mean,std,mean,std
model,experiment,temperature,,,,,,,,,,
gpt-4o,baseline,0.0,0.53,0.5016,0.8129,0.2796,0.4204,0.2471,0.8751,0.1735,0.708,0.2808
gpt-4o,few_shot,0.0,0.58,0.496,0.8344,0.2641,0.6353,0.3512,0.9095,0.1564,0.6947,0.206
gpt-4o,format_a_xml,0.0,0.52,0.5021,0.8082,0.2737,0.4111,0.2514,0.872,0.1737,0.813,0.6554
gpt-4o,format_b_instruction,0.0,0.56,0.4989,0.8568,0.2306,0.4898,0.2753,0.8974,0.1546,0.6864,0.2078
gpt-4o,temp_0.0,0.0,0.49,0.5024,0.7886,0.2925,0.4049,0.242,0.8715,0.173,0.7418,0.2999
gpt-4o,temp_0.3,0.3,0.5,0.5025,0.8032,0.282,0.4149,0.2498,0.8711,0.1744,0.6886,0.2024
gpt-4o,temp_0.7,0.7,0.49,0.5024,0.791,0.2742,0.3901,0.2514,0.8763,0.1583,0.7721,0.2713
gpt-4o,temp_1.0,1.0,0.44,0.4989,0.7794,0.2774,0.4076,0.2451,0.8767,0.1695,0.7472,0.3048
gpt-4o,zero_shot,0.0,0.52,0.5021,0.8036,0.2879,0.4128,0.2418,0.8791,0.1687,0.7608,0.2861
qwen3.5-9b,baseline,0.0,0.52,0.5021,0.8138,0.2708,0.4285,0.2622,0.8841,0.1545,0.508,0.2022
qwen3.5-9b,few_shot,0.0,0.65,0.4794,0.8908,0.1927,0.7251,0.3126,0.9376,0.1088,0.5292,0.1772
qwen3.5-9b,format_a_xml,0.0,0.53,0.5016,0.8216,0.2493,0.4392,0.2524,0.8783,0.1534,0.5022,0.1856
qwen3.5-9b,format_b_instruction,0.0,0.6,0.4924,0.8785,0.1825,0.6951,0.324,0.9137,0.157,0.4617,0.1553
qwen3.5-9b,temp_0.0,0.0,0.51,0.5024,0.8075,0.2737,0.425,0.264,0.8811,0.1579,0.4915,0.1891
qwen3.5-9b,temp_0.3,0.3,0.49,0.5024,0.7926,0.2921,0.4184,0.2571,0.8683,0.1821,0.6763,0.2146
qwen3.5-9b,temp_0.7,0.7,0.51,0.5024,0.7826,0.3024,0.4036,0.2725,0.8722,0.1753,0.687,0.2083
qwen3.5-9b,temp_1.0,1.0,0.49,0.5024,0.7805,0.2989,0.4301,0.2917,0.8732,0.184,0.6605,0.2349
qwen3.5-9b,zero_shot,0.0,0.51,0.5024,0.8078,0.2732,0.4276,0.2641,0.8812,0.1577,0.5032,0.1937
